time,note,source,submitted,total,failed,BL_COMPARISON,SI_REQUEST,INVOICE_QUERY,SPAM,GENERAL,scoreboard
20260919-215646,self-test dry run,C:\Users\brean\Projects\human-exe-prototype\data,False,520,0,129,132,75,40,144,
20260920-153229,first real run,http://localhost:8080,True,520,0,129,132,75,40,144,"{""stage1"": {""accuracy"": 0.8115384615384615, ""macro_f1"": 0.8463251006756598, ""rule_pct"": null, ""per"": {""BL_COMPARISON"": {""tp"": 129, ""fp"": 0, ""fn"": 91}, ""SI_REQUEST"": {""tp"": 125, ""fp"": 7, ""fn"": 0}, ""INVOICE_QUERY"": {""tp"": 75, ""fp"": 0, ""fn"": 0}, ""GENERAL"": {""tp"": 53, ""fp"": 91, ""fn"": 7}, ""SPAM"": {""tp"": 40, ""fp"": 0, ""fn"": 0}}, ""confusion"": {""BL_COMPARISON"": {""BL_COMPARISON"": 129, ""GENERAL"": 91}, ""INVOICE_QUERY"": {""INVOICE_QUERY"": 75}, ""SI_REQUEST"": {""SI_REQUEST"": 125}, ""GENERAL"": {""GENERAL"": 53, ""SI_REQUEST"": 7}, ""SPAM"": {""SPAM"": 40}}}, ""stage3"": {""defect_precision"": 0.0, ""defect_recall"": 0.0, ""defect_f1"": 0.0, ""field_f1"": 0.0, ""exact_match_rate"": 0.77, ""doc_total"": 200}, ""reliability"": {""escalation_recall"": 0.0, ""escalation_precision"": 0.0, ""escalation_f1"": 0.0, ""gold_review"": 20, ""pred_review"": 0, ""per_reason"": {""wrong_doc_type"": {""total"": 5, ""caught"": 0}, ""missing_attachment"": {""total"": 5, ""caught"": 0}, ""unreadable"": {""total"": 5, ""caught"": 0}, ""missing_value"": {""total"": 5, ""caught"": 0}}}, ""end_to_end"": {""success"": 0, ""total"": 46, ""rate"": 0.0}, ""weights"": {""stage1"": 0.3, ""stage3"": 0.2, ""end_to_end"": 0.5}, ""final_score"": 0.25389753020269795, ""n_emails"": 520}"
20260920-154527,pipeline wired,/home/jack-wong/human.exe/data,False,520,0,129,132,75,40,144,
20260920-154601,first real run,http://localhost:8080,True,520,0,129,132,75,40,144,"{""stage1"": {""accuracy"": 0.8115384615384615, ""macro_f1"": 0.8463251006756598, ""rule_pct"": null, ""per"": {""BL_COMPARISON"": {""tp"": 129, ""fp"": 0, ""fn"": 91}, ""SI_REQUEST"": {""tp"": 125, ""fp"": 7, ""fn"": 0}, ""INVOICE_QUERY"": {""tp"": 75, ""fp"": 0, ""fn"": 0}, ""GENERAL"": {""tp"": 53, ""fp"": 91, ""fn"": 7}, ""SPAM"": {""tp"": 40, ""fp"": 0, ""fn"": 0}}, ""confusion"": {""BL_COMPARISON"": {""BL_COMPARISON"": 129, ""GENERAL"": 91}, ""INVOICE_QUERY"": {""INVOICE_QUERY"": 75}, ""SI_REQUEST"": {""SI_REQUEST"": 125}, ""GENERAL"": {""GENERAL"": 53, ""SI_REQUEST"": 7}, ""SPAM"": {""SPAM"": 40}}}, ""stage3"": {""defect_precision"": 1.0, ""defect_recall"": 1.0, ""defect_f1"": 1.0, ""field_f1"": 1.0, ""exact_match_rate"": 1.0, ""doc_total"": 200}, ""reliability"": {""escalation_recall"": 0.85, ""escalation_precision"": 1.0, ""escalation_f1"": 0.9189189189189189, ""gold_review"": 20, ""pred_review"": 17, ""per_reason"": {""wrong_doc_type"": {""total"": 5, ""caught"": 5}, ""missing_attachment"": {""total"": 5, ""caught"": 5}, ""unreadable"": {""total"": 5, ""caught"": 2}, ""missing_value"": {""total"": 5, ""caught"": 5}}}, ""end_to_end"": {""success"": 46, ""total"": 46, ""rate"": 1.0}, ""weights"": {""stage1"": 0.3, ""stage3"": 0.2, ""end_to_end"": 0.5}, ""final_score"": 0.953897530202698, ""n_emails"": 520}"
